videoId,publishedAt,title,description,categoryId,duration,dimension,definition,caption,contentRating,viewCount,likeCount,commentCount
j6R_Unjyv-k,2023-05-06 21:40:08,이례적 날씨가 ‘일상’…바다가 심상치 않다 [9시 뉴스] / KBS  2023.05.06.,"저희 9시 뉴스에서 새롭게 준비한 코너입니다. 각 분야에서 활약하고 있는 KBS의 공식 '전문기자' 들이, 우리 생활에 유용하면서도 깊이있는 정보, 전달해 드리는 시간입니다. 오늘(6일)은 첫 순서로, 김세현 기상전문 기자가, 올 한해 날씨전망, 특히, '기상 이변' 가능성에 관해서 설명드립니다.

[리포트]

 아직 5월 초반인데, 여름철에나 내릴 법한 폭우가 쏟아졌습니다.

 올 봄, 역대 가장 더웠던 3월에 이어, 지난달까지 기온이 가장 높은 상황입니다.

 지난달은 전 지구적으로 가장 더운 4월로 기록될 거로 보인다는데요.

 이런 기상 이변은  왜 일어나는 걸까요?

 지구 표면의 70%를 차지하는  바다의 영향이 큽니다.

 전문가의 말 들어보겠습니다.

 [디트마르 도멘게트/호주 모나시대학교 대기·환경 학부 교수 : ""해양 온도가 1도 상승하면, 육지는 보통 1도 이상 상승하는데, 이는 육지가 해양에 매우 민감하기 때문입니다. 바다가 따뜻해지면 기온의 극단과 날씨 패턴의 변화도 보게 될 것입니다.""]

 그런데, 올해 바다 상황이 심상치 않습니다.

 지난달 초, 21.1도로 역대 가장 뜨거웠는데요.

 이유가 뭘까요?

 전문가들은 뜨거워지는 열대 태평양을 주목하고 있습니다.

 지난 3년 동안 열대 태평양에 발생했던 라니냐가 끝나고, 엘니뇨가 발달하고 있기 때문입니다.

 열대 태평양에는 해수면 온도 감시 구역이 있는데요.

 그 지역의 온도가 평년보다 낮은 상태가 이어지면 라니냐, 높은 상태가 이어지면 엘니뇨라고 합니다.

 실제 지난 3년 동안 라니냐가 이어지면서 태평양의  해수면 온도는 푸른 빛으로, 평년보다 차가웠는데요.

 지난 3월, 라니냐가 끝나자마자 붉은빛을 보이며 평년보다 뜨거워지는 게 보이시죠?

 앞으로 엘니뇨가 발달하면서 더 뜨거워질 거로 보이는데, 이번 엘니뇨, 예사롭지 않습니다.

 라니냐가 이례적으로  3년이나 발생한 뒤 나타나는 엘니뇨이기 때문입니다.

 [안순일/연세대학교 대기과학과 교수 : ""그 라니냐에 의해서 축적된 에너지가 이제 다시 해수면으로 올라오게 되는 거죠. 이런 경우에는 오랫동안 에너지가 많이 축적되어 있었기 때문에 강한 엘니뇨가 발생할 수 있는 가능성이 매우 높다고 볼 수가 있습니다.""]

 여기서 주목해야할 지역은 바로 서태평양입니다.

 라니냐로 열 에너지가 쌓인 곳인데요.

 취재 결과, 최근까지도 역대 가장 많은 에너지가 축적된 것으로 분석됐습니다.

 일반적인 엘니뇨보다 해수면 온도를 1.5도 더 높이는 슈퍼 엘니뇨로 발달할 수 있다는 얘기가 나오는 이유입니다.

 엘니뇨는 열대 태평양에 나타나는 현상이지만, 전 세계에 곳곳에 기상 이변을 일으킵니다.

 호주와 인도네시아는 심한 가뭄을, 남아메리카에는  폭우를 만들 수 있습니다.

 영향은 지역과 계절별로 차이가 있지만, 극한 기상 현상들이 나타날 가능성이 매우 커진다는 거죠.

우리나라도 당장 올 여름, 7월 중순부터 8월 중순에 남부 지방에 집중호우가  잦아질 수 있습니다.

 또, 엘니뇨는  일반적으로 겨울철에 가장 강하게 발달하는데요.

 그 과정에서 우리나라는 초겨울 기온이 평년보다 높고, 폭우 가능성도 높습니다.

 문제는, 올해로 끝이 아니라는 겁니다.

 엘니뇨 영향에 내년이 더 뜨거운 해가 될 거란 전망이 나오고 있습니다.

 [마이클 맥파덴/미국해양대기청 수석 과학자 :  ""엘니뇨의 정점이 지난 후의 해에는 전 세계 평균 지표면 온도가 가장 높게 나타납니다. 열대 태평양에서 나오는 열기가 전 지구로 퍼지는데 시간이 걸리기 때문입니다. 그래서 2023년에 엘니뇨가 발생한다면, 2024년에는 연평균 전 지구 기온의 새로운 기록이 세워질 가능성이 높습니다.""]

 지구 온난화에 엘니뇨 효과까지 더해지며 기상 이변 가능성이 높아지고 있습니다.

 당장 올 여름, 우리나라도 기록적인 폭염이나 폭우가 발생 할 수 있는 만큼, 재난 대비에 서둘러야 할 것으로 보입니다. 

 KBS 뉴스 김세현 입니다.

 영상편집:최찬종/그래픽:김정현

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669199

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#바다 #기상 #엘니뇨",25,PT4M24S,2d,hd,false,,637,12,0
rrAtjaM0qHA,2023-05-06 19:29:25,"[날씨] 강원·영남 밤까지 비…내일(7일)도 강풍, 중부 오후부터 갬 / KBS  2023.05.06.","비구름이 동쪽으로 이동해, 일부 내륙과 강원도, 영남에  비가 내리고 있습니다. 이번 비는 오늘 밤에 대부분 그치겠습니다. 바람은 여전히 강한데요. 전국에 부는 초속 15m 이상의 강풍은 일요일인 내일도 이어지겠습니다. 강풍으로 인한 시설물 피해 없도록 주의하시기 바랍니다.

 내일은 전국이 대체로 흐리다가 오후부터 중부지방을 중심으로 차차 맑아지겠고, 호남과 경남, 제주도에는 가끔 비가 오겠습니다.

 내일 제주도에는 5~20mm, 호남과 경남에는 5mm 안팎의 비가 더 내리겠습니다.

 내일 아침 기온은 오늘보다 낮은 곳이 많겠고, 낮 기온은 중부지방을 중심으로 큰 폭으로 올라 서울 20도, 청주 19도 예상됩니다.

 물결은 전 해상에서  최고 4~5m로 높게 일겠고, 제주도 해안에는  높은 너울이 밀려오는 곳이 있겠습니다.

 다음 주에는 비 소식 없이 맑은 날이 많겠습니다.

 날씨였습니다.

 강아랑/그래픽:이주혁/진행:전민지

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669182

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#구름 #비 #",25,PT1M24S,2d,hd,true,,2093,68,0
KxOVSWZkutw,2023-05-06 21:53:15,"우상혁, 발뒤꿈치 통증 딛고 은메달 [9시 뉴스] / KBS  2023.05.06.","한국 남자 높이뛰기 간판  우상혁이 세계 최정상급 선수들이 참가한 다이아몬드리그 개막전에서 2위를 차지했습니다. 발뒤꿈치 통증 후유증속에서도 값진 은메달을 따냈습니다. 정현숙 기자입니다.

 [리포트]

 부상의 후유증은  2m 27에서 나타났습니다.

 도움닫기에서 완벽하게 힘을 쓰지 못하면서 1,2차시기를 모두 실패했습니다.

 하지만 우상혁은 노련하게 김도균 코치와 대화하며 해법을 찾았습니다.

 위기의 순간,   꺾이지 않는 긍정에너지로 힘차게 바를 넘었습니다.

 우상혁은 흥겨운 복싱 세리머니로 성공을 자축했습니다.

 [현지 해설 멘트 : ""저는 우상혁을 정말 좋아합니다. 끼가 많아요.""]

 2m27의 승부처에서 도쿄올림픽 금메달리스트 바심이 탈락하는 이변속에, 시즌랭킹 1위인 미국의 해리슨이 우상혁의 새로운 경쟁자로 떠올랐습니다.

 멀리뛰기 겸업선수인 해리슨은 탄력  넘치는 점프로 2m30을 단번에 넘었습니다.

 우상혁은 2m30을 패스하고, 2cm를 더 높이는 승부수를 띄었지만 세 번의 도전을 모두 실패하며  해리슨에 이어 2위를 차지했습니다.

 [우상혁 : ""준우승했지만 그래도 시작이 나쁘지 않은 것 같습니다. 늦은 시간에 응원해주셔서 감사합니다.""]

 시즌 첫 실외대회에서 은메달을 따내며 희망과 과제를 확인한 우상혁은, 오는 9일 아시안게임 대표선발전인 KBS배 대회에서 도약을 이어갈 예정입니다.

 KBS 뉴스 정현숙입니다.

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669226

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr",25,PT1M57S,2d,hd,false,,69,2,0
Vv8_Z0oBOwI,2023-05-06 21:14:59,광주·전남 나흘간 300mm…전국 곳곳 피해 잇따라 [9시 뉴스] / KBS  2023.05.06.,"가뭄 속에 많은 분들이 단비를 기다렸지만 일부 지역에는 너무 많이 왔습니다. 나흘 동안 3백 밀리미터 이상 비가 쏟아진 남부 지방에, 피해가 속출했습니다. '강풍'까지 동반한, 때아닌 봄철 폭우... 농작물을 오히려 망치고, 빗길 사고를 유발하기도 했습니다. 백미선 기자가 종합했습니다.

 [리포트]

 보리와 밀을 재배하는 전남의 한 간척지 논입니다.

 이제 막 영글기 시작한 밀이 곳곳에 쓰러져 있습니다.

 한 달 뒤 수확철에 쭉정이만 거두지 않을까 농민들의 걱정이 큽니다.

 [이영길/밀 재배 농민 : ""익어서 쓰러지면 괜찮은데 여물지도 않았어요. 손으로 깨면 픽픽 깨져버려요.""]

 나흘 동안 최대 3백40mm의 비가 내린 전남에선 논밭 728㏊가 물에 잠기거나 작물이 쓰러지는 피해가 났습니다.

 도시가스 공급이 끊긴 마을에서 굴착기를 투입해 응급복구 작업이 한창입니다.

 상수도관 누수로  가스 배관에 물이 차면서 광주지역 280여 가구에  가스 공급이 중단됐습니다.

 전남에서만 5개 시군 도로 6곳이 유실됐습니다.

 같은 기간 한라산에 1000mm 넘는 폭우가 쏟아진 제주에서도 농작물 피해가 잇따랐습니다.

 열매를 맺던 미니 단호박이 강풍에 줄기가 꺾였습니다.

 침수됐던 잎은 썩거나 말라갑니다.

 [장봉길/단호박 재배 농민 : ""긴급하게 농약비라도 지원해서 2~3일내로 (날이) 풀린다니까 방제라도 할 수 있게끔 좀 지원해줬으면 하는 바람이 있습니다.""]

 부산에선 빗길을 달리던 45인승 통근버스가 갓길에 주차된 화물차를 들이받아 버스 기사와 승객 11명이 다쳤습니다.

 또 돌덩이가 도로에 떨어지는 등  부산에서만 79건의 강풍 피해가 접수됐습니다.

 오후 들어 비구름대가 북상한 경북에서도 축대가 무너져 주택을 덮치는 등 피해 신고 20여 건이 접수됐습니다.

 경북 문경시에선 불어난 강물에 40대 낚시객이 한때 고립됐다 구조됐습니다.

 KBS 뉴스 백미선입니다.

 촬영기자:김강용 고아람/영상편집:이두형

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669190

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#폭우 #침수 #사고",25,PT2M24S,2d,hd,false,,438,8,0
ZT16LJDw0Uc,2023-05-06 17:09:40,“오염수 방류 반대…한국 입장 일 총리 전해야” / KBS  2023.05.06.,"기시다 일본 총리의 방한이 하루 앞으로 다가온 가운데, 환경 단체들이 후쿠시마 원전 오염수의 해양 방류계획을 반대한다는 뜻을 거듭 밝혔습니다. 환경보건시민센터와 환경운동연합 등 시민단체들은 오늘 오후 서울 종로구 일본대사관 앞에서 이와 같은 내용을 담아 기자회견을 진행했습니다.
이들은 ""대한민국 국민들은 후쿠시마 원전 오염수의 해양투기를 분명히 반대한다""며 ""윤석열 대통령은
기시다 총리에게 이와 같은 한국 국민들의 뜻을 분명히 전해야 한다""고 주장했습니다.

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669158

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#오염수방류 #기시다 #한일회담",25,PT44S,2d,hd,false,,433,12,0
agufJjqjRMc,2023-05-06 21:40:31,‘내 보증금 괜찮을까’…“비싸도 월세로” [9시 뉴스] / KBS  2023.05.06.,"최근 전세 사기 여파에다 전셋값도 떨어지면서 세입자들의 걱정이 커지고 있습니다. 보증금을 제때 돌려받을 수 있을지 불안한 건데요. 이러다 보니 주거비 부담이 늘더라도 보증금을 지키기 위해 월세로 돌아서는 경우가 늘고 있습니다. 김지숙 기자가 취재했습니다.

 [리포트]

 석 달 뒤  전세 계약이 끝나  이사를 결정한 30대입니다.

 지금 살고 있는 집 주인이 3번이나 바뀌면서, 전 재산이나 다름없는 전세 보증금을  돌려받을 수 있을지 걱정입니다.

 [국OO/전세 세입자 : ""집을 사고 팔고 하는 사람들이 이 집을 거쳐 간다는 건데, 그 안에서 나는 계속 안전할까.""]

 전세 사기 여파로 불안 심리가 확산 되는 상황에서 전세가격도 하락세입니다.

 실제로 올해 1분기까지  전국에서 거래된 전세 물량 10건 중 6건 이상이 계약 시점인 2년 전보다 가격이 떨어졌습니다.

 당장 '역전세난'이 심화될 수 있다는 우려가 나오는 배경입니다.

 집주인이 자금이 부족할 경우, 기존 세입자들이  보증금을 돌려받기  어려워질 수도 있다는 뜻입니다.

 [유상근/공인중개사 : ""(전세 보증금을) 많이 내려야 되는 경우는 이제 할 수 없이 요즘에 '역월세'라고 그렇게 표현하던데 월세를 오히려 임차인이 원래는 줘야 되는데 임대인이 주는 경우가 있다고...""]

 이렇다 보니  전세 거래도 지난해 같은 기간보다  크게 줄었습니다.

 보증금 미반환 우려에 전세 대신 월세를 찾는 사람이 늘면서 월세 거래량은 꾸준히 늘고 있고, 특히 100만 원이 넘는 고액 월세도 증가추세입니다.

 [우병탁/신한은행 부동산투자자문센터 팀장 : ""결국은 이러한 현상들은 금리에 관한 이슈라든지 아니면 전세사기와 관련된 이슈들이 일단락이 되는 시점, 적어도 올해 하반기 매매까지는 월세 선호 현상이 계속 지속될 것이라고 예상이 됩니다.""]

 다만, 세입자들의 수요가 월세에 과도하게 집중되면 주거비용이 늘어나는 만큼, 세입자들이 다시 전세로 돌아설 수 있다는  관측도 나옵니다.

 KBS 뉴스 김지숙입니다. 

촬영기자:박장빈/영상편집:전유진/그래픽:김지훈

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669200

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#월세 #보증금 #전세사기",25,PT2M9S,2d,hd,false,,453,7,0
4zzfZ10GzRI,2023-05-06 21:14:42,"“코로나19 위기단계 하향, 곧 정할 것”…자가격리 7일→5일  [9시 뉴스] / KBS  2023.05.06.","여러분 안녕하십니까, 9시 뉴스 오늘(6일)은, '코로나19' 소식으로 문을 엽니다. 3년 여 전...세계의 명소들은 이렇게 폐쇄됐습니다. 콜로세움, 에펠탑 할 것 없이 인적이 끊겼습니다. 당시 세계보건기구는 '국제 비상 사태'를 선포했고, 여러 나라에서 '외출 금지령'까지 이어졌습니다. 그리고 마침내, 그 '비상 사태'가, 종식되기에 이르렀습니다. 이제는 코로나19도 일반적인 '유행병' 수준으로 관리할 수 있다는 건데... 그동안에 이미, 인류는 너무 큰 상처를 입었습니다. 공식 집계된 사망자만 7백 만 명... 실제로는 '2천 만 명'도 넘을 것으로 WHO는 추산합니다. 변이에 대한 우려도 여전하지요? 이런 상황에서, 우리의 '방역'도 이제, 큰 전환점을 맞게 될 텐데, 박광식 의학전문 기자가 보도합니다.

 [리포트]

 방역당국은 신속하게 코로나19 위기 단계를 내리기로 했습니다.

 위기평가회의 등을 거쳐 이달 중순쯤 결정될 것으로 보이는데,  3년 넘게 지속된 '심각' 단계를 '경계'로 낮추는 게 핵심 내용입니다.

 방역 규제를 완전히 해제하는 3단계 이행 방안 중 첫 번째 조치에 해당합니다.

 1단계 조정이 시행되면 격리 의무 기간이 닷새로 이틀 단축됩니다.

 확진자 숫자 등 코로나19 관련 통계도 주간 단위로 발표합니다.

 [지영미/질병관리청장/3월29일 정례브리핑 : ""위기단계가 경계로 하향되면 범부처 비상대응체계에서 보건방역당국 중심의 관리체계로 대응수준이 완화되는 효과가 있습니다.""]

 다만 1단계 조치에선 의료 기관과 취약 시설 마스크 착용 의무는 유지됩니다.

 7월로 예상되는 2단계 조치가 시행되면 확진자 격리 의무가 전면 권고로 바뀝니다.

 마지막 3단계는 코로나19를 독감처럼 관리하는 건데, 내년 이후로 예상됩니다.

 [정재훈/가천의대 예방의학과 교수 : ""어느 정도 조정이 다 이루어진 상황이기 때문에 빠른 접근이 가능하리라 생각하고요. 그것보다 더 중요한 것이 국가 단위의 준비라든지 지원 같은 것들이 평상시 수준으로 돌아간다는 게 더 중요한 의미를 가지고 있다고 생각합니다.""]

 새로운 변이 등 불확실성이 여전히 존재한다는 점은 경계 대상입니다.

 하지만 백신과 치료제 등 의료 대응 수준이 높아진만큼 큰 위기 가능성은 낮을 것으로 전문가들은 예측했습니다.

 재택 근무와 아프면 쉴 권리, 비대면 진료 등 급하게 도입했던 제도들에 대한 체계 마련과 사회적 합의도 필요합니다.

 KBS 뉴스 박광식입니다.

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669189

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#코로나19 #자가격리 #WHO",25,PT3M1S,2d,hd,false,,387,7,0
fjdip7qyqk8,2023-05-06 21:44:41,[주말&문화] 때묻지 않은 ‘순수의 미학’…‘골목 화가’ 원계홍 [9시 뉴스] / KBS  2023.05.06.,"주말 앤 문화 시간입니다. 오직 그림을 향한 열정만으로 홀로 미술을 공부해 서울의 골목길 풍경을 그려 온 화가가 있습니다. 그는 익숙한 풍경들을 남다른 시선으로 화폭에 담아냈는데요. 그의 탄생 100주년을 맞아 대표작을 선보이는 자리가 마련됐습니다. 어떤 화가의 작품인지 김석 기자가 소개합니다.

 [리포트]

 인적 없는 새벽 서울의 어느 골목길 풍경.

 화면 왼쪽에 커다란 붉은 벽이, 골목 건너 오른쪽엔 저마다 다른 색깔의 문들이 경쾌한 리듬을 보여줍니다.

 회색빛으로 물든 또 다른 풍경 속엔, 그 시절 골목 한구석을 지켰을 가게 간판이 보입니다.

 특별할 것 없는 풍경에 담긴 색다른 깊이.

 화면을 세 가지 색으로 과감하게 표현한 감각이 돋보입니다.

 우리에게는 생소한 화가 원계홍.

 정규 미술교육은 안 받았지만, 그저 그리는 게 좋아서 독학으로 미술을 공부하며 평생을 그리는 일에 바쳤습니다.

 [이수균/성곡미술관 학예연구실장 : ""우리가 좀 더 다가서 보면 그의 작품 전반에 흐르는 회색빛 분위기와 또 자신만의 독특한 붓 자국을 그대로 살리며 드러내고 있습니다.""]

 그 시대 화가들에게선 볼 수 없는 때 묻지 않은 조형 감각.

 나이 쉰다섯에 첫 개인전을 열었을 정도로 생전에는 큰 빛을 못 봤지만, 그의 작품들이 지금까지 남을 수 있었던 건 일찍이 화가의 진면목을 알아본 소장가 덕분.

 처음 그림을 본 그 날의 기억은 지금도 생생합니다.

 [김태섭/원계홍 작품 소장가 : ""그냥 확 빨려 들어가는 느낌이었어요. 그냥 쭉 빨려 들어갔다고. 그래서 안방에서 몇 작품을 보고 그다음에 이제 그날 밤에 사모님이 주신 사진, 사진을 딱 보는데 그냥 쭉, 소름이 끼치는 전율감이 쭉 오더라고. 아, 이게 여태까지 한국 미술에 이런 그림은 거의 처음 본 거예요.""]

 탄생 100주년을 맞아 33년 만에 열리는 이번 전시회에선 골목 풍경화부터 인물화와 정물화까지 화가의 대표작 100여 점을 선보입니다.

 KBS 뉴스 김석입니다.

 촬영기자:오승근/영상편집:최정연/자막제작:임희수

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669218

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#원계홍 #골목길 #화가",25,PT2M40S,2d,hd,false,,157,5,0
qgTC6UdZ25U,2023-05-06 21:21:56,"일본, ‘과거사’보단 북한 대응 등 안보·​​경제 협력 부각 [9시 뉴스] / KBS  2023.05.06.","일본 쪽에선 이번 회담이, '경제'와 '안보', 두 축에 초점을 둘 것으로 보고 있습니다. 일본 정부도 그렇고, 언론도 마찬가지고, 한-일 '과거사' 문제에 대해서는, 아직까지 별다른 언급이 없는 상황입니다. 도쿄에서 박원기 특파원이 보도합니다.

 [리포트]

 이시카와현에서 발생한 규모 6.5 강진과 40여 차례의 크고 작은 여진.

 아프리카와 싱가포르 순방을 마친 기시다 총리는  어젯(5일)밤 도쿄에 도착해 지진 피해 상황을 보고받은 뒤 이렇게 말했습니다. 

 [기시다 후미오/일본 총리/어젯밤 : ""한국 방문 등 향후 일정에 대해서는 지진 피해 상황 등을 보면서 적절히 판단하겠습니다.""]

 피해 정도에 따라 방한 계획이 바뀔 수도 있다는 의미로 읽혔는데, 일본 정부는 오늘(6일) 오후 기시다 총리의 방한을 최종 확인했습니다.

 일본 정부 당국자는 우선 이번 방한이  2011년 노다 총리의 방문 이후 끊긴 '셔틀 외교'가 12년 만에 복원됐다는 데 의미를 뒀습니다.

 또, 한국에 대해선 ""국제 사회가 직면한 다양한 문제를 해결하기 위해  함께 노력해야 하는  중요한 이웃 국가""라고 평가하고 특히 ""북한 대응을 포함한 최근 전략 환경에서  한-일, 한-미-일 협력의 중요성은 의심할 여지가 없다""고 강조했습니다.

 이어, 히로시마 주요 7개국 정상회의보다 먼저 열리는 이번 양자 회담에서 ""두 정상은  인도·태평양 지역에서의 협력 등을 확인할 것""이라고 밝혔습니다.

 앞으로도  두 정상이 서로 자주 방문해 양국 관계 발전을 본 궤도에 올려놓을 기회로 활용할 것이라고도 말했는데, 역사 문제 대응에 관해선 말을 아꼈습니다.

 이런 분위기를 반영하듯 일본 언론들은 대체로 이번 정상회담에서 한일 간 역사 문제보다는 경제와 안보 협력 문제가  비중 있게 다뤄질 것으로 예상하고 있습니다.

 강제동원 문제 등에 관한 일본 측의 이른바 '성의 있는 호응'이 있을지에 관심이 큰 한국 여론과는 상당한 거리가 있어 보입니다.

 도쿄에서 KBS 뉴스 박원기입니다.

 촬영:안병욱/영상편집:고응용/그래픽:김석훈/자료조사:조영은

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669193

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#일본 #북핵 #경제협력",25,PT2M15S,2d,hd,false,,520,8,0
LHYAAVWSgQM,2023-05-06 17:15:02,"김남국 “적법 거래, 정치생명 건다”…국민의힘 “억울하면 소명하라” / KBS  2023.05.06.","민주당 김남국 의원이 한때 60억 원어치의 코인을 보유했던 사실이 알려져 논란이 일고 있습니다. 김 의원은 모든 거래 과정은 적법했으며, 이번 일이 크게 불거진 건 한동훈 검찰의 작품이라고 주장했습니다. 이에 대해 한 장관은 근거 없이 국가기관을 폄훼하지 말라고 했고, 여당도 이틀째 공세를 이어갔습니다. 김시원 기자의 보도입니다.

 [리포트]

 김남국 의원은 오늘 자신의 SNS에 이번 '코인 논란'은 한동훈 검찰의 작품으로 생각한다고 주장했습니다.

 자신의 정치 생명과 전 재산을 걸겠다며 과연 출처가 불분명한 돈을 갖다 투자했는지, 불법적 투자가 있었는지 전부 확인해 보자고 했습니다.

 앞서 한 언론은  김 의원이 60억 원어치의  코인을 보유하다 인출했는데, 이후 재산 신고 내용엔 큰 변동이 없었다며, 자금 흐름에 대한 의혹을 제기했습니다.

 금융정보분석원, FIU도 김 의원의 코인 투자에  의심스런 거래가 있다며, 검찰 등 수사기관에  통보한 것으로 알려졌습니다.

 이에 대해 김 의원은, 지난해 3월 말 코인 거래 실명제 이전에 자금 출처와 실명 지갑 주소를 거래소에 제출했다며 금융당국도 아무런 문제가 없다는 걸 다 알았을 거라고 주장했습니다.

 그러면서 국민의힘  이준석 전 대표가 가상화폐로 돈을 벌면 자랑이고, 자신이 투자로 돈을 벌면  문제가 되느냐고 반문했습니다.

 한동훈 법무부 장관은 구체적 사안은 알지 못하지만 누구도 김 의원에게  거액의 코인을 사라거나  금융당국에 적발되라고 한 적이 없다며 논리와 근거 없이 국가기관을 폄훼하는 게 유감이라고 밝혔습니다.

 여당도 이틀째 공세를 이어갔습니다.

 [윤희석/국민의힘 대변인 : ""국민들은 김남국 의원이 벌인 거래의 투명성, 투자의 정당성을 의심하고 있기 때문입니다. 억울하면 소명하십시오.""]

 국민의힘은  김 의원이 코인을 보유했을 당시 과세 유예 입법을 한 것은 이해충돌을 넘어  입법권 남용이라고 비판했습니다.

 KBS 뉴스 김시원입니다.

 촬영기자:류재현/영상편집:송화인

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=7669159

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#김남국 #코인 #한동훈",25,PT2M12S,2d,hd,true,,31158,386,929
